date,datetime,event_type,event_name,sponsorship,address,event_id,event_url,rank,player_id,player_name,deck_id,card_id,card_name,count
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,41853,キュワワー,4
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,41837,ウッウ,2
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,41848,ヤミラミ,2
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,40072,カイオーガ,1
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,42014,ザマゼンタ,1
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,42294,かがやくゲッコウガ,1
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,42828,マナフィ,1
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,41421,いれかえカート,4
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,36021,あなぬけのヒモ,4
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,41896,ミラージュゲート,4
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,40053,バトルVIPパス,4
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,41422,トレッキングシューズ,2
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,39192,エネルギーリサイクル,2
2023-04-22,2023-04-22 11:00:00,シティリーグ,シティリーグ2023 シーズン4 オープンリーグ,トーナメントセンターバトロコ　水戸駅前,茨城県,109027,/event/detail/109027/result,1,0036204814,りん,gnngHL-dNKZd7-nNngNN,35139,ネストボール,3
