date,datetime,event_type,event_name,sponsorship,address,event_id,event_url,rank,player_id,player_name,deck_id,card_id,card_name,count
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,42172,ルギアVSTAR,3
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,42171,ルギアV,4
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,41927,ネオラントV,1
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,38753,クロバットV,1
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,42175,アーケオス,4
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,41692,かがやくリザードン,1
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,38762,イベルタル,1
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,39264,ムーランドV,1
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,39685,バケッチャ,1
2022-12-03,2022-12-03 16:30:00,シティリーグ,シティリーグ2023 シーズン2 オープンリーグ,トーナメントセンターバトロコ　高田馬場,東京都,46018,/event/detail/46018/result,1,0002834502,tomoka,Fkkk5v-zho2iy-fFFkkV,40041,ノコッチ,1
